record_id,station_id,timestamp,charger_type,connector_type,ambient_temperature_c,humidity_pct,input_voltage_v,input_current_a,charging_power_kw,grid_frequency_hz,power_factor,energy_delivered_kwh,charging_duration_min,station_temperature_c,cable_temperature_c,insulation_resistance_mohm,ground_leakage_current_ma,battery_soc_start_pct,battery_soc_end_pct,battery_voltage_v,battery_current_a,battery_temperature_c,battery_soh_pct,cell_voltage_imbalance_mv,bms_warning_count,communication_latency_ms,packet_loss_pct,failed_auth_attempts,network_traffic_mbps,firmware_integrity_score,sensor_health_score,equipment_vibration_mm_s,relay_switch_count,error_code_count,charging_efficiency_pct,voltage_deviation_pct,current_deviation_pct,energy_loss_pct,anomaly_class
EVR_000001,CS_0278,2024-01-01 00:00:00,DC_Fast,CHAdeMO,30.453,54.57,386.491,60.171,32.358,50.005,0.964,18.551,117.58,28.632,39.053,11.703,5.463,37.138,65.051,368.575,101.169,36.129,92.492,25.221,0,16.025,0.022,1,4.494,0.979,0.953,1.854,9,1,91.56,0.432,0.032,2.024,Normal
EVR_000002,CS_0016,2024-01-01 00:05:00,AC_Level_2,CCS,29.046,98.0,380.681,62.215,17.538,49.856,0.949,19.598,25.133,47.739,39.472,12.558,2.543,24.606,75.498,349.853,55.549,36.39,86.164,23.214,0,265.471,9.905,5,2.108,0.782,1.0,1.102,9,1,94.713,1.506,0.628,1.404,Cybersecurity_Incident
EVR_000003,CS_0013,2024-01-01 00:10:00,AC_Level_2,CCS,42.994,71.942,405.014,91.794,24.427,49.91,0.955,17.261,44.928,26.836,27.545,12.862,4.362,57.185,92.408,329.903,98.167,45.961,59.644,66.68,2,38.257,0.277,0,2.808,0.95,0.876,1.822,6,0,90.125,0.701,3.36,5.202,Battery_Anomaly
EVR_000004,CS_0087,2024-01-01 00:15:00,Ultra_Fast,Type_2,13.318,29.997,398.101,81.064,45.642,49.837,0.96,27.782,38.095,42.74,39.176,13.101,6.897,42.803,87.397,344.462,110.676,32.453,88.907,12.28,0,68.195,0.182,0,2.214,1.0,0.942,1.816,7,6,80.372,1.258,12.631,6.063,Charging_Fault
EVR_000005,CS_0078,2024-01-01 00:20:00,AC_Level_2,CCS,25.71,80.171,401.391,50.524,39.333,49.954,0.975,14.585,55.345,39.861,26.153,9.526,5.347,9.075,75.57,373.677,52.786,26.576,83.099,8.677,0,26.042,0.289,0,8.242,0.968,0.956,2.448,8,0,91.001,0.796,2.051,3.724,Normal
EVR_000006,CS_0067,2024-01-01 00:25:00,AC_Level_2,CCS,26.27,65.216,415.202,69.067,22.2,50.065,0.94,6.188,53.637,42.434,44.011,9.925,2.229,22.381,77.691,370.905,65.17,33.425,99.171,20.902,0,33.571,0.066,0,2.563,0.922,1.0,2.41,13,0,94.83,1.222,1.175,4.14,Normal
EVR_000007,CS_0211,2024-01-01 00:30:00,DC_Fast,CCS,17.013,38.397,397.242,65.102,18.88,49.953,0.932,62.709,42.162,31.324,45.322,7.097,3.419,58.841,93.532,377.613,67.04,40.169,97.181,28.728,0,24.53,1.867,1,2.911,0.995,0.963,1.434,7,1,92.605,1.884,1.364,3.438,Normal
EVR_000008,CS_0214,2024-01-01 00:35:00,DC_Fast,CCS,31.503,43.756,390.348,60.516,19.594,49.812,0.835,28.745,37.809,31.366,44.954,10.506,1.063,37.43,82.267,363.059,75.203,27.957,85.039,18.282,0,54.815,0.249,0,2.618,0.996,1.0,1.914,6,0,95.719,8.734,0.704,16.236,Energy_Anomaly
EVR_000009,CS_0185,2024-01-01 00:40:00,AC_Level_2,CCS,25.062,46.199,382.643,98.903,16.535,50.082,0.969,8.574,67.954,36.97,39.327,8.838,1.698,5.689,92.317,390.893,79.832,36.705,85.039,17.706,0,65.684,0.178,1,0.68,0.989,0.938,2.378,11,3,78.386,1.559,11.302,5.821,Charging_Fault
EVR_000010,CS_0033,2024-01-01 00:45:00,AC_Level_2,CHAdeMO,22.747,84.084,411.924,77.196,36.069,49.839,0.964,18.209,61.122,27.43,30.337,13.578,4.291,38.308,84.739,425.506,72.762,49.221,66.834,69.469,7,70.67,0.604,0,3.404,0.968,0.909,1.649,10,0,91.854,1.174,0.528,1.903,Battery_Anomaly
