StationID,maximum_power_kw,fast_charging_connector_type,supply_voltage_v,output_current_a,session_energy_consumed_kwh,charger_temperature_celsius,battery_soc_percent,charging_session_duration_min,charging_state,connector_standard,grid_power_load_kw
472908,11.0,0,234.0,46.75,13.34,16.0,42.4,74.6,97.3,Type 2 (Socket Only),10.84
471132,120.0,1,394.3,306.31,39.91,24.9,53.5,22.7,92.6,CCS (Type 2),103.27
470899,0.0,0,228.9,30.74,17.37,29.3,48.6,134.5,97.9,CCS (Type 2),6.24
470819,7.0,0,235.2,33.69,14.0,15.9,43.8,106.3,96.4,Type 2 (Socket Only),7.46
470794,250.0,1,800.2,310.57,50.75,33.3,53.8,12.5,93.9,CCS (Type 2),218.75
469284,200.0,1,797.3,251.34,64.75,31.9,70.2,17.7,92.4,CCS (Type 2),187.63
464404,200.0,1,810.5,246.05,49.77,18.9,52.6,16.4,93.6,CCS (Type 2),192.01
462390,7.2,0,242.2,28.6,15.94,26.5,48.9,135.8,96.2,Type 2 (Socket Only),6.78
462104,5.0,0,228.1,19.96,15.14,35.1,62.9,180.5,92.9,CCS (Type 2),4.43
460635,150.0,2,779.8,194.42,52.22,16.0,61.1,20.8,90.5,"CCS (Type 2), CHAdeMO",136.62
460456,258.0,1,789.5,327.71,71.08,25.9,24.8,18.8,94.6,CCS (Type 2),248.4
460455,258.0,1,786.4,332.86,50.71,26.7,49.3,11.1,94.0,CCS (Type 1),247.04
460454,258.0,1,794.6,324.66,65.31,25.8,44.1,16.3,94.4,CCS (Type 2),253.46
460376,3.5,0,228.1,17.67,18.09,23.7,22.5,331.4,96.7,Type 2 (Socket Only),3.14
459857,250.0,1,797.3,311.87,49.03,26.5,16.1,10.5,91.5,CCS (Type 2),223.22
458973,5.0,0,242.6,20.25,13.5,23.5,81.8,162.5,97.3,Type 2 (Socket Only),4.72
313674,120.0,1,411.5,288.32,25.49,15.0,45.9,10.9,91.4,CCS (Type 2),107.81
313297,0.0,0,236.1,30.43,17.46,15.0,72.7,155.2,95.7,CHAdeMO,6.83
312816,0.0,0,226.2,33.44,24.3,19.4,38.1,185.4,95.7,CCS (Type 2),7.11
311758,7.4,0,234.3,35.98,21.15,19.8,29.8,174.7,99.2,Type 2 (Socket Only),7.93
311507,5.0,0,226.3,21.71,22.98,21.1,14.1,272.9,96.1,Type 2 (Socket Only),5.0
311248,160.0,14,787.8,203.46,47.04,26.8,61.9,20.2,92.0,"CCS (Type 2), CHAdeMO",138.91
311209,300.0,1,815.0,371.11,63.71,39.4,46.2,13.3,93.4,CCS (Type 2),271.49
309248,350.0,6,823.0,429.67,39.23,23.3,53.6,7.2,90.8,CCS (Type 2),300.03
309132,350.0,2,764.6,456.5,63.9,39.1,58.2,10.4,90.3,"CCS (Type 2), CHAdeMO",288.59
308787,3.4,0,226.3,18.18,24.82,21.7,38.5,380.4,96.3,Type 2 (Socket Only),3.37
308735,50.0,2,410.5,123.07,48.11,25.3,40.9,64.8,95.4,"CCS (Type 2), CHAdeMO",49.08
308689,50.0,1,381.2,132.11,31.29,13.5,30.1,32.9,92.9,CCS (Type 2),44.32
308628,22.0,0,231.9,99.71,14.02,30.6,5.0,38.5,96.0,Type 2 (Socket Only),22.6
308615,22.0,0,214.7,97.09,13.55,15.9,36.9,42.2,99.5,Type 2 (Socket Only),20.32
308614,50.0,2,390.0,126.1,30.05,18.2,40.1,39.5,95.3,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",42.9
308458,22.0,0,216.2,100.49,17.8,24.1,34.7,55.3,95.2,Type 2 (Socket Only),21.81
307982,350.0,6,802.9,437.61,60.72,19.2,76.4,11.6,90.8,CCS (Type 2),341.15
307858,22.0,0,225.5,94.66,18.97,17.4,25.9,46.8,96.5,Type 2 (Socket Only),21.88
307129,7.0,0,221.9,33.36,18.66,21.7,42.2,142.8,95.0,Type 2 (Socket Only),6.45
307077,100.0,2,398.5,249.04,33.7,28.4,5.0,22.2,96.9,CCS (Type 2),105.93
306872,75.0,4,394.0,192.14,33.85,22.3,44.1,27.5,96.4,"CCS (Type 2), CHAdeMO",78.7
306696,50.0,2,408.1,122.26,33.67,32.5,58.0,45.5,92.4,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",43.33
306209,22.0,0,232.5,100.12,16.07,20.9,58.6,41.5,97.4,Type 2 (Socket Only),21.93
306065,150.0,4,833.3,176.79,51.13,29.2,26.0,21.1,89.2,"CCS (Type 2), CHAdeMO",132.15
306029,47.0,1,222.7,213.09,21.4,14.3,45.7,29.0,94.7,CCS (Type 2),46.02
306008,3.0,0,218.7,14.7,21.0,17.5,39.5,433.1,96.0,Type 2 (Socket Only),2.79
306002,45.0,2,241.7,185.37,21.78,30.0,51.5,27.4,97.7,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",43.81
305966,50.0,2,393.9,128.22,44.42,17.3,46.9,54.0,93.3,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",48.18
