StationID,Operator,UsageType,MaxPowerKW,FastChargeCount,ConnectionTypes,StatusType,Voltage_V,Current_A,Session_Energy_kWh,Temperature_C,SoC_pct,Session_Duration_min,Charging_Efficiency_pct,Connector_Temp_C,Grid_Load_kW
472908,Lidl,Public - Membership Required,11.0,0,Type 2 (Socket Only),Operational,234.0,46.75,13.34,16.0,42.4,74.6,97.3,58.8,10.84
471132,(Unknown Operator),Public,120.0,1,CCS (Type 2),Operational,394.3,306.31,39.91,24.9,53.5,22.7,92.6,120.0,103.27
470899,Scottish Power,Public - Membership Required,0.0,0,CCS (Type 2),Operational,228.9,30.74,17.37,29.3,48.6,134.5,97.9,53.5,6.24
470819,POD Point (UK),Public - Membership Required,7.0,0,Type 2 (Socket Only),Operational,235.2,33.69,14.0,15.9,43.8,106.3,96.4,42.9,7.46
470794,Tesla (including non-tesla),Public,250.0,1,CCS (Type 2),Operational,800.2,310.57,50.75,33.3,53.8,12.5,93.9,120.0,218.75
469284,(Unknown Operator),Public,200.0,1,CCS (Type 2),Operational,797.3,251.34,64.75,31.9,70.2,17.7,92.4,120.0,187.63
464404,E.ON Drive,Public,200.0,1,CCS (Type 2),Operational,810.5,246.05,49.77,18.9,52.6,16.4,93.6,120.0,192.01
462390,Monta,Public - Membership Required,7.2,0,Type 2 (Socket Only),Operational,242.2,28.6,15.94,26.5,48.9,135.8,96.2,48.8,6.78
462104,ubitricity,Public,5.0,0,CCS (Type 2),Operational,228.1,19.96,15.14,35.1,62.9,180.5,92.9,51.1,4.43
460635,MFG EV Power,Public,150.0,2,"CCS (Type 2), CHAdeMO",Operational,779.8,194.42,52.22,16.0,61.1,20.8,90.5,120.0,136.62
460456,ForEV,Public,258.0,1,CCS (Type 2),Operational,789.5,327.71,71.08,25.9,24.8,18.8,94.6,120.0,248.4
460455,ForEV,Public,258.0,1,CCS (Type 1),Operational,786.4,332.86,50.71,26.7,49.3,11.1,94.0,120.0,247.04
460454,ForEV,Public - Pay At Location,258.0,1,CCS (Type 2),Operational,794.6,324.66,65.31,25.8,44.1,16.3,94.4,120.0,253.46
460376,Clenergy,Public - Membership Required,3.5,0,Type 2 (Socket Only),Operational,228.1,17.67,18.09,23.7,22.5,331.4,96.7,38.4,3.14
459857,Tesla (including non-tesla),Public - Pay At Location,250.0,1,CCS (Type 2),Operational,797.3,311.87,49.03,26.5,16.1,10.5,91.5,120.0,223.22
458973,Shell Recharge Solutions (UK),Public,5.0,0,Type 2 (Socket Only),Operational,242.6,20.25,13.5,23.5,81.8,162.5,97.3,39.7,4.72
313674,(Unknown Operator),Public - Membership Required,120.0,1,CCS (Type 2),Operational,411.5,288.32,25.49,15.0,45.9,10.9,91.4,120.0,107.81
313297,(Unknown Operator),Private - For Staff; Visitors or Customers,0.0,0,CHAdeMO,Operational,236.1,30.43,17.46,15.0,72.7,155.2,95.7,38.9,6.83
312816,(Unknown Operator),Public - Membership Required,0.0,0,CCS (Type 2),Operational,226.2,33.44,24.3,19.4,38.1,185.4,95.7,46.2,7.11
311758,Weev,Public - Membership Required,7.4,0,Type 2 (Socket Only),Operational,234.3,35.98,21.15,19.8,29.8,174.7,99.2,49.2,7.93
311507,Shell Recharge Solutions (UK),Public,5.0,0,Type 2 (Socket Only),Operational,226.3,21.71,22.98,21.1,14.1,272.9,96.1,38.2,5.0
311248,InstaVolt Ltd,Public - Pay At Location,160.0,14,"CCS (Type 2), CHAdeMO",Operational,787.8,203.46,47.04,26.8,61.9,20.2,92.0,120.0,138.91
311209,Tesla (including non-tesla),Public,300.0,1,CCS (Type 2),Operational,815.0,371.11,63.71,39.4,46.2,13.3,93.4,120.0,271.49
309248,Electric Highway (UK),Public - Pay At Location,360.0,6,CCS (Type 2),Operational,823.0,429.67,39.23,23.3,53.6,7.2,90.8,120.0,300.03
309132,FastNed,Public - Membership Required,400.0,2,"CCS (Type 2), CHAdeMO",Operational,764.6,456.5,63.9,39.1,58.2,10.4,90.3,120.0,288.59
308787,Clenergy,Public,3.4,0,Type 2 (Socket Only),Operational,226.3,18.18,24.82,21.7,38.5,380.4,96.3,36.7,3.37
308735,(Unknown Operator),Private - Restricted Access,50.0,2,"CCS (Type 2), CHAdeMO",Operational,410.5,123.07,48.11,25.3,40.9,64.8,95.4,120.0,49.08
308689,BP Pulse (UK),Public - Pay At Location,50.0,1,CCS (Type 2),Operational,381.2,132.11,31.29,13.5,30.1,32.9,92.9,120.0,44.32
308628,Evolt Network (Swarco E.Connect),Public,22.0,0,Type 2 (Socket Only),Operational,231.9,99.71,14.02,30.6,5.0,38.5,96.0,120.0,22.6
308615,Evolt Network (Swarco E.Connect),Public,22.0,0,Type 2 (Socket Only),Operational,214.7,97.09,13.55,15.9,36.9,42.2,99.5,120.0,20.32
308614,Evolt Network (Swarco E.Connect),Public,50.0,2,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",Operational,390.0,126.1,30.05,18.2,40.1,39.5,95.3,120.0,42.9
308458,Evolt Network (Swarco E.Connect),Public,22.0,0,Type 2 (Socket Only),Operational,216.2,100.49,17.8,24.1,34.7,55.3,95.2,120.0,21.81
307982,Electric Highway (UK),Public - Pay At Location,360.0,6,CCS (Type 2),Operational,802.9,437.61,60.72,19.2,76.4,11.6,90.8,120.0,341.15
