date,start_hour,city,station_id,charger_kw,session_minutes,energy_kwh,price_per_kwh,session_cost,grid_load_mw,peak_hour
2025-03-04,20,Houston,ST0013,150,42,26.28,0.33,8.67,4888.04,1
2021-01-31,16,Denver,ST0115,11,76,30.96,0.19,5.88,5215.11,0
2019-02-24,15,Osaka,ST0380,100,35,23.41,0.09,2.11,4031.18,0
2018-12-23,15,Helsinki,ST0217,7,24,22.45,0.16,3.59,4183.65,0
2018-05-03,23,Chicago,ST0112,11,40,23.14,0.12,2.78,4780.36,0
2023-09-01,18,Dublin,ST0014,100,21,22.4,0.18,4.03,4803.75,1
2020-03-25,14,Seoul,ST0333,150,82,27.77,0.15,4.17,5302.36,0
2024-02-11,11,Madrid,ST0113,50,49,14.08,0.13,1.83,4874.76,0
2024-08-10,21,Boston,ST0415,7,48,23.18,0.2,4.64,4273.47,1
2019-10-16,14,Seoul,ST0217,22,35,27.49,0.24,6.6,4008.42,0
2021-02-12,19,Phoenix,ST0111,22,37,19.06,0.26,4.95,5471.72,1
2019-02-23,22,Chicago,ST0195,7,28,19.81,0.24,4.76,5507.03,0
2022-01-10,15,Paris,ST0310,22,41,17.39,0.14,2.43,5275.82,0
2018-06-27,23,Singapore,ST0236,100,43,28.18,0.25,7.04,4750.15,0
2019-05-27,19,Berlin,ST0041,100,75,26.82,0.33,8.85,3677.41,1
2021-04-15,22,Tokyo,ST0317,22,46,22.02,0.23,5.07,4034.32,0
2024-06-22,16,Seattle,ST0361,7,52,31.63,0.18,5.69,4542.27,0
2018-07-07,15,Osaka,ST0117,22,63,27.2,0.18,4.9,5165.45,0
2018-11-23,18,Denver,ST0444,7,64,22.17,0.2,4.43,4752.62,1
2022-04-06,10,Boston,ST0233,150,50,25.31,0.22,5.57,4683.93,0
2022-02-03,10,San Francisco,ST0190,22,36,20.61,0.16,3.3,4701.78,0
2020-05-08,20,Osaka,ST0137,150,82,28.71,0.24,6.89,4977.63,1
2025-08-31,8,Tokyo,ST0037,100,44,23.58,0.39,9.2,4658.14,0
2025-02-13,19,San Francisco,ST0274,150,44,17.44,0.3,5.23,5325.71,1
2020-09-29,21,San Francisco,ST0237,50,26,28.13,0.12,3.38,5325.96,1
2021-01-10,23,Tokyo,ST0353,100,25,18.17,0.23,4.18,4780.94,0
2020-06-18,10,Osaka,ST0167,7,46,18.21,0.25,4.55,4313.12,0
2020-07-27,23,New York,ST0413,22,29,19.87,0.28,5.56,4424.05,0
2022-07-02,19,Boston,ST0034,11,71,18.48,0.23,4.25,5083.87,1
2024-05-12,21,Seoul,ST0162,11,20,13.8,0.26,3.59,5123.68,1
2025-05-08,19,Amsterdam,ST0203,150,51,20.72,0.24,4.97,5109.42,1
2023-02-23,14,Phoenix,ST0136,11,82,30.21,0.14,4.23,5229.11,0
2020-10-07,13,Singapore,ST0288,100,60,30.99,0.16,4.96,5365.66,0
2020-12-12,20,Singapore,ST0300,50,61,34.8,0.2,6.96,4662.35,1
2024-07-18,13,Berlin,ST0186,11,28,20.97,0.24,5.03,4982.24,0
2019-07-21,22,Stockholm,ST0253,7,45,30.67,0.2,6.13,6422.76,0
2018-07-12,21,Houston,ST0079,150,27,15.89,0.25,3.97,4871.81,1
2019-10-18,21,Osaka,ST0217,100,54,24.12,0.16,3.86,4259.04,1
2018-09-18,15,Berlin,ST0196,100,62,26.51,0.13,3.45,4992.63,0
2023-04-02,19,Stockholm,ST0129,100,27,22.01,0.22,4.84,4396.55,1
2018-02-17,19,Osaka,ST0370,7,56,30.14,0.29,8.74,4311.71,1
2025-08-24,13,Oslo,ST0385,22,55,27.17,0.26,7.06,6795.04,0
2025-03-10,20,London,ST0058,22,67,30.81,0.27,8.32,4865.61,1
2022-11-16,21,San Francisco,ST0233,7,29,20.3,0.19,3.86,5042.12,1
2020-12-14,23,Stockholm,ST0391,11,10,22.63,0.11,2.49,4814.56,0
2023-09-11,23,Houston,ST0446,150,46,18.13,0.17,3.08,5372.32,0
2021-05-07,14,Tokyo,ST0260,100,49,24.11,0.17,4.1,5948.4,0
2020-03-25,21,Phoenix,ST0192,11,10,20.13,0.17,3.42,5426.75,1
2024-01-19,14,Sydney,ST0473,100,42,25.56,0.28,7.16,4282.11,0
2018-01-03,16,Dublin,ST0166,50,35,18.93,0.34,6.44,5098.22,0
2018-03-21,11,Houston,ST0476,22,63,36.17,0.29,10.49,4105.0,0
